ID|Task-specific required inputs|Task-specific design and acceptance criteria
LP-001|MATERIALS; OBJECTIVE; LESSON_MINUTES|Map each lesson segment to observable evidence. Include actual exit questions and answers, not just an instruction to write them.
LP-002|LESSON_COUNT; FINAL_PERFORMANCE; PREREQUISITES|Plan the final evidence first, then sequence prerequisites. Explain why each lesson is needed; mark optional extensions separately.
LP-003|EXACT_STANDARD; LESSON_COUNT|Quote the standard unchanged. Separate its verbs, content and conditions, and connect each objective to an observable response.
LP-004|PRIOR_CONCEPT; TARGET_CONCEPT; MINUTES_PER_CHECK|Use different questions before and after instruction while measuring the same concept. Explain what can and cannot be inferred about progress.
LP-005|ESTABLISHED_ROUTINES; AVAILABLE_MATERIALS; LOCAL_SAFETY_PROCEDURES|Write a substitute script, independent task and answer key. Leave attendance and emergency procedures for local completion; never invent them.
LP-006|PRIOR_EXAMPLES; TARGET_CONCEPT; KNOWN_CONFUSION|Sequence examples and non-examples before naming the concept. Include a question that tests the boundary of the new idea.
LP-007|OBSERVABLE_PHENOMENON; AVAILABLE_EVIDENCE|Start with observation before explanation. Compare two competing explanations and identify evidence that would distinguish them; allow uncertainty.
LP-008|TARGET_PROCEDURE; PREREQUISITE_CHECK|Write one complete think-aloud, guided practice and independent item. Use demonstrated readiness, not elapsed time alone, to release support.
LP-009|DISCUSSION_QUESTION; AUTHORIZED_SOURCES; PARTICIPATION_OPTIONS|Allow silent preparation and written participation. Require a claim with evidence and a response to a counterargument, not compulsory public speaking.
LP-010|BASIC_MATERIALS; NO_TECH_CONSTRAINT|Use only the listed physical materials. Replace every digital action with a concrete classroom action and a collectible evidence product.
LP-011|AUTHORIZED_TEXT; READING_GOAL; ESSENTIAL_VOCABULARY|Anchor questions to supplied passages. Distinguish literal evidence from interpretation and do not invent quotations or page references.
LP-012|APPROVED_PROCEDURE; VARIABLES; SAFETY_LIMITS|Identify changed, measured and controlled variables; include units and repeated measurements. Stop if the proposed procedure exceeds supplied safety limits.
LP-013|PROBLEM_CONTEXT; VERIFIED_SOLUTION; REPRESENTATIONS|Offer two valid solution routes and compare their assumptions. Verify calculations and explain why a tempting incorrect route fails.
LP-014|ORIGINAL_PLAN; ESSENTIAL_EVIDENCE; THIRTY_MINUTE_LIMIT|Produce a 30-minute timeline whose durations sum correctly. State what is removed and why the core assessment remains valid.
LP-015|ORIGINAL_PLAN; NINETY_MINUTE_LIMIT; BREAK_REQUIREMENTS|Use the extra time for practice, feedback and transfer. Include transitions and a break where required, not a longer lecture by default.
LP-016|DRAFT_LESSON; OBJECTIVE; ASSESSMENT|Return keep/change/remove decisions with evidence of alignment. Repair only mismatched segments and show the revised assessment.
