ID|Fictional inputs for the illustrated excerpt|Illustrative output excerpt
LP-001|Grade 6 science; 50 minutes; objective: model inputs and products of photosynthesis; paper, board and pencils; no live experiment.|Objective: model how light supplies energy for plants to make sugar from water and carbon dioxide. Agenda: prior ideas 5 min; teacher model 10; paired arrow sort 12; independent model 16; exit 7. Matter inputs: water and carbon dioxide; energy input: light. Products: sugar and oxygen. Exit: Can a watered plant make sugar without carbon dioxide? Key: not by photosynthesis without a carbon dioxide source. Check that light is labelled energy, not matter. Prepare arrow cards before class.
LP-002|Grade 8 mathematics; eight 45-minute lessons; solve one-variable linear equations including variables on both sides; integer operations already taught.|Work backward from a six-item assessment sampling solving, checking and explanation. Lessons: equality; two-step equations; distribution; combining like terms; variables both sides; no/infinite solutions; mixed practice; assessment. Example final item: 3(x+2)=2x+11 gives x=5; substitution gives 21=21. Checkpoints follow lessons 2, 4 and 6. Teacher decides whether the evidence supports moving on; any percentage cutoff is a local planning choice, not a universal rule.
LP-003|Grade 5 ELA; fictional objective supplied verbatim: Identify a claim and explain how two details support it; four lessons.|Original objective: Identify a claim and explain how two details support it. Knowledge: claim, detail, relevance. Actions: identify, select, explain. Sequence: recognize claims; select relevant details; explain the link; evaluate a new paragraph. Success evidence: the learner identifies the claim, selects two genuinely relevant details and explains each connection. Missing: an authorized source paragraph. Do not invent a curriculum-standard code.
LP-004|Grade 7 science; compare direct and indirect effects in a simplified chain algae-snails-perch-herons; five minutes for each check; assume these feeding links.|Warm-up: If snails decrease, which consumer directly loses food? Key: perch. Exit: Explain one possible effect on herons and one on algae. Key: herons may decline if perch decline; algae may increase if grazing declines. Both are conditional predictions in this simplified model, not guaranteed ecosystem outcomes. Use an explanation probe before deciding whether a learner confuses direct and indirect effects.
LP-005|Grade 4 map skills; 55 minutes; grid on board, paper and pencils; objective: use coordinates and compass directions; local procedures completed by teacher.|Write a 3-by-3 grid labelled columns A-C and rows 1-3, with north upward. Mark library A1, pond C1 and gate C3. Ask: Where is the pond? Which direction from pond to gate? Key: C1; north. Schedule: starter 5, model 10, guided practice 15, independent map 15, check/collect 10. Attendance and emergency instructions: use the locally completed attachment; this excerpt supplies neither.
LP-006|Grade 4 fractions; 30 minutes; equal paper strips and pencils; prior learning: halves and fourths; target: equivalent fractions.|Show equal-length strips with one half shaded and two fourths shaded. Ask what changed and what remained the same. Fold the half into two equal parts and label 1/2=2/4. Non-example: halves drawn from unequal wholes cannot establish equal amounts. Independent check: Is 2/3 equal to 4/6 for equal wholes? Key: yes, each third is split into two sixths. Require an explanation, not a memorized multiplying rule alone.
LP-007|Grade 5 science; sealed dry cups containing cold and room-temperature water; teacher-approved handling; 35 minutes; investigate droplets outside cups.|Record outside surfaces before and after observation. Compare leakage with water condensing from surrounding air. Keep cup material and water volume similar; change temperature. The teacher checks sealing and notes surface temperature if a thermometer is available. Droplets predominantly on the cold cup support condensation but a single comparison does not prove every alternative impossible. No learner tastes the water; wipe spills. Do not fabricate measurements.
LP-008|Grade 4 mathematics; multiply a two-digit number by a one-digit number using place value; 35 minutes; 23x4 model and 12x3 guided item.|I do: 23x4=(20x4)+(3x4)=80+12=92. Explain why both tens and ones are multiplied. We do: 12x3=30+6=36. You do: 31x3=90+3=93. After each stage ask why the tens product is not 6 in the first example. Keep guidance if learners cannot explain place value; remove it when evidence supports independence. Check final answers by repeated addition or another valid method.
LP-009|Grade 7 civics; 30 minutes; fictional town has one vacant lot; supplied facts: park adds public space, housing adds homes; no costs supplied.|Question: Which option would you recommend, and what evidence is still needed? Prepare silently, discuss in groups of four, then write an individual recommendation. Roles: facilitator, evidence-checker, challenger and summarizer. Both recommendations can be defensible if qualified. Missing: housing need, costs, environmental effects and community views. Do not invent these facts to settle the issue. Offer written participation instead of compulsory speech.
LP-010|Grade 6 ratios; 40 minutes; board, scrap paper and pencils; fictional mixture uses two parts yellow to three parts blue.|Model pairs (2,3), (4,6), (8,12). Ask why (4,5) is not the same ratio. Key: both quantities must scale by the same factor. Sequence: launch 5, model 8, pairs 12, independent check 10, discuss 5. Exit: six yellow parts require how many blue? Key: nine. Use drawn units, not actual paint, so only the stated materials are needed.
